Mining Gait Pattern for Clinical Locomotion Diagnosis Based on Clustering Techniques,computer science,artificial intelligence,distributed computing
Tutoriel sur les matrices aléatoires – Introduction aux équivalents déterministes,NA,NA,NA
User detection and channel estimation for SCMA uplink system in dispersive channel,computer science,real time computing,computer network
Modified Hidden Factor Analysis for Cross-Age Face Recognition,mathematics,artificial intelligence,pattern recognition
On local connectivity of cognitive radio ad hoc networks with directional antennas,computer science,computer network,wireless ad hoc network
Enabling Flexible Network FPGA Clusters in a Heterogeneous Cloud Data Center,computer science,real time computing,parallel computing
Inferior Frontal Cortex Contributions to the Recognition of Spoken Words and Their Constituent Speech Sounds.,psychology,communication,cognition
Embedded image-coding algorithm using set partitioning in block trees of wavelet coefficients.,mathematics,mathematical optimization,theoretical computer science
Abstract Specifications for Concurrent Maps,computer science,distributed computing,programming language
GSP: The Cinderella of Mechanism Design,computer science,artificial intelligence,machine learning
Lightweight Key Management for Adaptive Addressing in Next Generation Internet,computer science,computer network,the internet
Generalized Hamming Weights of BCH(3) Revisited,NA,NA,NA
Dependency-Aware and Resource-Efficient Scheduling for Heterogeneous Jobs in Clouds,computer science,distributed computing,real time computing
An ontology-based multi-agent virtual enterprise system (OMAVE): part 2: partner selection,engineering,knowledge management,multi agent system
On the Satisfiability of Quantum Circuits of Small Treewidth,mathematics,discrete mathematics,combinatorics
The accident of flight 447 Rio-Paris: a case study for HCI research,computer science,human computer interaction,conceptual framework
A control model of human tongue movements in speech.,mathematics,control theory,motor control
Low-loss active inductor with independently adjustable self-resonance frequency and quality factor parameters,computer science,electronic engineering,cmos
Cryptographic Protocol Synthesis and Verification for Multiparty Sessions,computer science,distributed computing,theoretical computer science
A Ku-band high-isolation SPDT switch in 0.35um SiGe BiCMOS technology,NA,NA,NA
Situated preferences and preference repositories for personalized database applications,computer science,database,data mining
Design and verification of analog CMOS circuits using the g m /I D -method with age-dependent degradation effects,computer science,real time computing,electronic engineering
Position and Force Control of Micromanipulatorwith Six Degrees of Freedom Using Piezoelectric Actuators.,computer science,artificial intelligence,control theory
Probabilistic event structures and domains,mathematics,discrete mathematics,combinatorics
A Modified Azimuth Weighting Method in a Two-Step Process Approach for Sliding Spotlight Data Processing,NA,NA,NA
Facial feature tracking by robust face segmentation and scalable rotational BMA.,mathematics,artificial intelligence,pattern recognition
A robust and secure RFID-based pedigree system (short paper),computer science,computer security,tracking system
"Modellbasierte und Modellgetriebene Softwaremodernisierung: Bericht über den Workshop im Rahmen der Konferenz ""Modellierung 2016"".",NA,NA,NA
Disentangling resting-state BOLD variability and PCC functional connectivity in 22q11.2 deletion syndrome,NA,NA,NA
"Design, Control and Visual Navigation of the DelftaCopter.",engineering,control engineering,simulation
Engineering future interoperable and open IoT systems,computer science,distributed computing,internet of things
An interpretation of isabelle/HOL in HOL light,computer science,algorithm,hol
IoT in Action: Design and Implementation of a Building Evacuation Service,NA,NA,NA
Discovering Conversational Dependencies between Messages in Dialogs,computer science,artificial intelligence,machine learning
Extending Soft Sets towards the Optimality of Decision Based on Multiple Decisions over the Same Data,mathematics,artificial intelligence,machine learning
Dynamic Mode Decomposition: Data-Driven Modeling of Complex Systems,computer science,theoretical computer science,nonlinear system
Left-Ventricle Basal Region Constrained Parametric Mapping to Unitary Domain,mathematics,topology,parametrization
QoS Assurance with Light Virtualization - A Survey,computer science,real time computing,quality of service
Pedestrian Detection and Direction Estimation by Cascade Detector with Multi-classifiers Utilizing Feature Interaction Descriptor,computer science,artificial intelligence,pattern recognition
Different stakeholders’ perspectives for a surgical case assignment problem: Deterministic and robust approaches,mathematics,mathematical optimization,operations management
Effect of white LED DC-bias on modulation speed for visible light communications,mathematics,mathematical optimization,telecommunications
Reflections on Computer Science and Information Systems research,NA,NA,NA
Privacy Risk Perceptions and Privacy Protection Strategies.,business,public relations,internet privacy
"Impact of Gamification on User’s Knowledge-Sharing Practices: Relationships between Work Motivation, Performance Expectancy and Work Engagement",NA,NA,NA
Fast and Automated Electromigration Analysis for CMOS RF PA Design,computer science,real time computing,electronic engineering
Guest editorial: GeoStreaming,geography,cartography,NA
Mobile Learning in Pre-Kindergarten: Using Student Feedback to Inform Practice,NA,NA,NA
Data-driven approximate value iteration with optimality error bound analysis ☆,NA,NA,NA
A study of friending willingness on SNSs: Secondary school teachers' perspectives,NA,NA,NA
A model predictive power control method with longer prediction horizon for distributed power generations,engineering,data mining,real time computing
A Deviation Index Proposal to Evaluate Group Decision Making Based on Equilibrium Solutions,economics,welfare economics,game theory
Sorting by Reversals and the Theory of 4-Regular Graphs,mathematics,discrete mathematics,combinatorics
Utilizing Geometric Mean in Proportional Fair Scheduling: Enhanced Throughput and Fairness in LTE DL,computer science,computer network,simulation
Storing and Querying of XML Documents Without Redundant Path Information,computer science,database,relational database
Quantitative analysis of information leakage in service-oriented architecture-based Web services,computer science,real time computing,computer security
Asymptotic and Bootstrap Tests for the Dimension of the Non-Gaussian Subspace,mathematics,statistics,mathematical optimization
QoS Enabled WiFi MAC Layer Processing as an Example of a NFV Service,computer science,real time computing,computer network
Finite deformation guided nonlinear filtering for multiframe cardiac motion analysis,mathematics,mathematical optimization,control theory
Private Incremental Regression,mathematics,artificial intelligence,mathematical optimization
Trade-offs for Ordinal Ranking Methods in Multi-Criteria Decisions,mathematics,data mining,information system
On the Secrecy Capacity Region of the Two-User Symmetric Z Interference Channel With Unidirectional Transmitter Cooperation,NA,NA,NA
Modeling Computational Security in Long-Lived Systems,computer science,distributed computing,theoretical computer science
A Structural Characterization for Certifying Robinsonian Matrices,mathematics,discrete mathematics,combinatorics
A Proposal for Tuning the Alpha Parameter in a Copula Function Applied in Fuzzy Rule-Based Classification Systems,mathematics,artificial intelligence,pattern recognition
Jaya algorithm for solving urban traffic signal control problem,computer science,algorithm,control system
Matching index expressions for information retrieval,computer science,data mining,information retrieval
Super-Resolution Reconstruction of Electrical Impedance Tomography Images,computer science,artificial intelligence,computer vision
Improved Computational Efficiency of Locally Low Rank MRI Reconstruction Using Iterative Random Patch Adjustments,mathematics,mathematical optimization,iterative reconstruction
Scalable Attestation Resilient to Physical Attacks for Embedded Devices in Mesh Networks,computer science,distributed computing,computer network
"Sensor selection for Kalman filtering of linear dynamical systems: Complexity, limitations and greedy algorithms ☆",NA,NA,NA
Harnessing the Web for Population-Scale Physiological Sensing: A Case Study of Sleep and Performance,computer science,real time computing,world wide web
Computer Science for the Community: Increasing Equitable Opportunity for Youth Through Libraries.,economic growth,knowledge management,qualitative research
Graph-structured Watermarking using Bitonic Sequences of Self-inverting Permutations,computer science,real time computing,discrete mathematics
Application Embedding: A Language Approach to Declarative Web Programming,computer science,distributed computing,programming language
An approach for software knowledge sharing based on architectural decisions,engineering,knowledge management,systems engineering
Exploring differences in how learners navigate in MOOCs based on self-regulated learning and learning styles: A process mining approach,engineering,knowledge management,multimedia
1st International Workshop on Search and Mining Terrorist Online Content & Advances in Data Science for Cyber Security and Risk on the Web,computer science,data mining,world wide web
Lemma learning in the model evolution calculus,mathematics,algorithm,calculus
Computing the advertising value of users by tapping on RTB,business,marketing,advertising
A grammar-based compression using a variation of Chomsky normal form of context free grammar,computer science,discrete mathematics,chomsky normal form
Towards an Hybrid Approach for Semantic Arabic Spontaneous Speech Analysis.,NA,NA,NA
"Word, Mention and Entity Joint Embedding for Entity Linking.",NA,NA,NA
ASAClu: Selecting Diverse and Relevant Clusters,mathematics,artificial intelligence,machine learning
Big data approach in healthcare used for intelligent design — Software as a service,computer science,artificial intelligence,data mining
Speaker Authentication System Based on Voice Biometrics and Speech Recognition,computer science,speech recognition,hybrid system
Physically-based real-time music fountain simulation,computer science,simulation,fluid dynamics
Differentiation and Integration of Machine Learning Feature Vectors,computer science,artificial intelligence,pattern recognition
Investigations on path indexing for graph databases,NA,NA,NA
A composable framework for secure multi-modal access to internet services from Post-PC devices,computer science,computer network,the internet
The descriptive complexity approach to LOGCFL,mathematics,discrete mathematics,combinatorics
EONS: An online RSA simulator for elastic optical networks,NA,NA,NA
Asymptotic Analysis of MIMO Multi-Cell Full-Duplex Networks,mathematics,computer network,antenna
Embedded multi-sensors objects detection and tracking for urban autonomous driving,computer science,artificial intelligence,computer vision
Indexing in an Actor-Oriented Database.,computer science,database,search engine indexing
Fast minimum variance deconvolution,mathematics,statistics,mathematical optimization
An examination of research data sharing and re-use: implications for data citation practice,computer science,data mining,data science
Energy Conservation and Lifetime Optimization of Wireless Body Sensor Networks for 24x7 Physiological parameters’ Monitoring,computer science,distributed computing,computer network
Performance comparison of subjective assessment methodologies for Light Field Displays,computer science,artificial intelligence,computer vision
Interindividual Variability and Intraindividual Reliability of Intermittent Theta Burst Stimulation-induced Neuroplasticity Mechanisms in the Healthy Brain,psychology,neuroscience,cognitive psychology
Simulation of Human Detection System Using BRIEF and Neural Network,computer science,artificial intelligence,machine learning
Pay or Perish: The Economics of Premium Peering,computer science,computer network,computer security
High performance shallow water kernels for parallel overland flow simulations based on FullSWOF2D,computer science,mathematical optimization,parallel computing
The Physical Systems Behind Optimization Algorithms,mathematics,algorithm,mathematical optimization
A Workflow Language for Grid Services in OGSI-based grids,computer science,database,distributed computing
Quantum Machine Learning without Measurements,NA,NA,NA
"Visualizing 3D Terrain, Geo-Spatial Data, and Uncertainty",computer science,artificial intelligence,computer vision
Evaluation of XPath queries over XML documents using SparkSQL framework,computer science,database,information retrieval
A Proposal for Common Dataset in Neural-Symbolic Reasoning Studies.,computer science,NA,NA
Many-dimensional schema modeling,computer science,database,data mining
Actor-oriented design of scientific workflows,computer science,database,complex systems
Robust ImageGraph: Rank-Level Feature Fusion for Image Search,mathematics,artificial intelligence,pattern recognition
On the computational completeness of graph-controlled insertion–deletion systems with binary sizes,NA,NA,NA
Credibility and usefulness of health information on Facebook: a survey study with U.S. college students.,NA,NA,NA
Achievable Sum Rate of Linear MIMO Receivers with Multiple Rayleigh Scattering,physics,electronic engineering,mimo
An AC Current Transformer Standard Measuring System for Power Frequencies,mathematics,control theory,electronic engineering
Establishing an evidence-based 9D evaluation approach for ERP post-implementation,engineering,knowledge management,management science
Detecting falls with X-Factor Hidden Markov Models,mathematics,artificial intelligence,machine learning
Bad big data science,NA,NA,NA
Analogical representation and graph comprehension,computer science,artificial intelligence,computer vision
Poster: Symbol detection with OR rule for CAN FD,NA,NA,NA
On the parameterized complexity of the Edge Monitoring problem,mathematics,discrete mathematics,combinatorics
Region-based Illuminant Estimation for Effective Color Correction,computer science,artificial intelligence,computer vision
Analysis of non-idealities in parallel-summation logarithmic amplifiers,computer science,theoretical computer science,management science
TestEG — A computational game for teaching of software testing,NA,NA,NA
Online Optimization of Collaborative Web Service QoS Prediction Based on Approximate Dynamic Programming,computer science,distributed computing,data mining
Uncertainty Aware Clustering for Behaviour in Enterprise Networks,computer science,artificial intelligence,data mining
Framework for a Hospitality Big Data Warehouse: The Implementation of an Efficient Hospitality Business Intelligence System,engineering,marketing,knowledge management
Social Media and Analytics for Competitive Performance: A Conceptual Research Framework,computer science,knowledge management,conceptual framework
Encapsulating models and approximate inference programs in probabilistic modules,computer science,artificial intelligence,data mining
On the Interest of Data Mining for an Integrity Assessment of AIS Messages,computer science,data mining,computer security
Exploiting Convolutional Neural Network for Risk Prediction with Medical Feature Embedding,computer science,artificial intelligence,machine learning
Optimized two-level parallelization for GPU accelerators using the polyhedral model,computer science,computer architecture,parallel computing
Synchronization-Free Automatic Parallelization for Arbitrarily Nested Affine Loops,computer science,real time computing,parallel computing
Decentralized Random Walk-Based Data Collection in Networks,computer science,distributed computing,computer network
Grid Service Selection with PPDL,computer science,database,distributed computing
Bayesian processing of vestibular information,mathematics,artificial intelligence,machine learning
Codes for Channels With Segmented Edits,mathematics,discrete mathematics,theoretical computer science
Measurement Experiments and Analysis for Modeling of McKibben Pneumatic Actuator,NA,NA,NA
"XML Schema, tree logic and sheaves automata",computer science,algorithm,programming language
Event-Triggered Sleeping for Synchronous DC MAC IN WSNs: Mechanism and DTMC Modeling,computer science,real time computing,computer network
Learning to Remember Rare Events,computer science,artificial intelligence,pattern recognition
Adaptation of facial synthesis to parameter analysis in MPEG-4 visual communication.,NA,NA,NA
Work Always in Progress: Analysing Maintenance Practices in Spatial Crowd-sourced Datasets,computer science,data mining,knowledge management
Automotive security state of the art and future challenges,engineering,embedded system,the internet
A new neural unsupervised classification approach using amended competitive Hebbian learning: PET image segmentation insights,mathematics,artificial intelligence,pattern recognition
New constructions of variable-rate QC-LDPC codes by adding column-blocks or removing row-blocks,computer science,discrete mathematics,theoretical computer science
Robust Spoken Language Understanding for House Service Robots,computer science,artificial intelligence,speech recognition
Neural network analysis of the pattern of functional connectivity between cerebral areas in schizophrenia,computer science,theoretical computer science,artificial neural network
Tool support for data protection impact assessment in the smart grid,engineering,computer security,risk assessment
Oliot-Discovery Service: Dealing with Performance and Security Issues from Intra-DS Aspect for IoT,computer science,computer network,information system
Applications of regularized least squares to classification problems,mathematics,artificial intelligence,machine learning
The general Randić index of trees with given number of pendent vertices,NA,NA,NA
Universal Tree Source Coding Using Grammar-Based Compression,mathematics,discrete mathematics,combinatorics
Tracking and visualizing time management for Self-Regulated Learners.,computer science,knowledge management,software
Standard errors for regression on relational data with exchangeable errors,NA,NA,NA
Creating Synergy through the Integration of Advanced Planning Systems and Configuration.,NA,NA,NA
Combining a Patch-based Approach with a Non-rigid Registration-based Label Fusion Method for the Hippocampal Segmentation in Alzheimer’s Disease,NA,NA,NA
Decision making with uncertainty and data mining,computer science,data mining,monte carlo method
Variational Dropout Sparsifies Deep Neural Networks,mathematics,artificial intelligence,pattern recognition
"Systems-of-systems development: Initiatives, trends, and challenges",engineering,systems engineering,management science
Exploiting Polarization for Underlay Spectrum Sharing in Cognitive Heterogeneous Cellular Network,computer science,computer network,polarization
Steal-A-GC: Framework to Trigger GC during Idle Periods in Distributed Systems,computer science,distributed computing,real time computing
Vivado HLS-based implementation of a fall detection decision core on an FPGA platform,computer science,real time computing,software
The Academic Reading Format International Study (ARFIS): Investigating Students Around the World.,computer science,multimedia,syllabus
Multiple Mittag-Leffler Stability of Fractional-Order Recurrent Neural Networks,mathematics,mathematical optimization,mathematical analysis
Discrete differential evolution algorithm for solving the terminal assignment problem,NA,NA,NA
Transforming web requirements into navigational models : AN MDA based approach,computer science,distributed computing,simulation
Parallel clustering method for non-disjoint partitioning of large-scale data based on spark framework,computer science,theoretical computer science,search engine
"Information Diffusion, Cluster formation and Entropy-based Network Dynamics in Equity and Commodity Markets",economics,financial economics,microeconomics
Run-time schedulability check of real-time tasks for energy efficiency,computer science,real time computing,parallel computing
Optimizing tree decompositions in MSO,mathematics,discrete mathematics,combinatorics
Space Robot Dynamics and Control: a Historical Perspective,engineering,aerospace engineering,simulation
An effective graph‐theoretic approach towards simultaneous detection of fault(s) and cut(s) in wireless sensor networks,NA,NA,NA
A Psychophysical Experiment Regarding Components of the Plausibility Illusion,computer science,artificial intelligence,computer vision
Aligning Process Model Terminology with Hypernym Relations,computer science,artificial intelligence,natural language processing
Visual Inspection System for Welded Beads of Automotive Panel,NA,NA,NA
Coloring graphs of various maximum degree from random lists,mathematics,discrete mathematics,combinatorics
A Multi-view RGB-D Approach for Human Pose Estimation in Operating Rooms,computer science,artificial intelligence,pattern recognition
Force Measurement Toward the Instability Theory of Soft Pneumatic Actuators,engineering,mechanical engineering,control engineering
A Methodology for Reusable Hardware Proofs,computer science,algorithm,computer hardware
Full-Duplex Wireless-Powered Relay in Two Way Cooperative Networks,computer science,computer network,wireless
Surrogate Bicycle Design for Millimeter-Wave Automotive Radar Pre-Collision Testing,engineering,simulation,radar
The Storage vs Repair-Bandwidth Trade-off for Clustered Storage Systems,NA,NA,NA
An Energy-Efficient Data Reporting Scheme Based on Spectrum Sensing in Wireless Sensor Networks,computer science,real time computing,computer network
Colored Character and Number Recognition by Using Cutaneous Sensation.,art,communication,sensation
Case study on which relations to use for clustering-based software architecture recovery,computer science,data mining,theoretical computer science
Dynamic customer preference analysis for product portfolio identification using sequential pattern mining,engineering,data mining,marketing
Privacy Model for Threshold RFID System Based on PUF,computer science,computer network,computer security
Disposable Carbon Dots Modified Screen Printed Carbon Electrode Electrochemical Sensor Strip for Selective Detection of Ferric Ions,engineering,analytical chemistry,inorganic chemistry
The role of errors related to DFT methods in calculations involving ion pairs of ionic liquids,chemistry,computational chemistry,molecule
Robust Intrinsic and Extrinsic Calibration of RGB-D Cameras,computer science,artificial intelligence,computer vision
Spectral Clustering Wikipedia Keyword-Based Search Results,NA,NA,NA
Elemental Technologies for Collective Robots.,engineering,human computer interaction,robot
Weighted Bipartite Matching in Matrix Multiplication Time,mathematics,discrete mathematics,combinatorics
Error estimation for surrogate models of dynamical systems using machine learning,mathematics,artificial intelligence,statistics
A Visual Analytics Framework to Study Honey Bee Behaviour,computer science,data mining,data science
Hardware/software co-synthesis with memory hierarchies,computer science,real time computing,computer hardware
Digital signal splitting among multiple DACs for analog bandwidth interleaving (ABI),computer science,electronic engineering,bandwidth
Improving Course Assessment via Web-based Homework,NA,NA,NA
Application of semantic annotations to predicting users' demographics,computer science,data mining,information retrieval
Reducing Delay of Flexible Download in Coded Distributed Storage System,computer science,distributed computing,real time computing
Characterizing OS Behaviors of Datacenter and Big Data Workloads,computer science,distributed computing,real time computing
Secure communications with cooperative jamming : optimal power allocation and secrecy outage analysis,computer science,electronic engineering,iterative method
Computing the Number of Bubbles and Tunnels of a 3-D Binary Object,NA,NA,NA
Pipeline Reconfigurable DSP for Dynamically Reconfigurable Architectures,mathematics,real time computing,parallel computing
A Hybrid Machine Learning Approach for Planning Safe Trajectories in Complex Traffic-Scenarios,computer science,artificial intelligence,machine learning
A Unified Method of Detecting Core-Periphery Structure and Community Structure in Networks.,NA,NA,NA
Robust Synchronization in Markov Decision Processes,mathematics,artificial intelligence,distributed computing
"Spacecraft Autonomous Reaction Capabilities, Control Approaches, and Self-aware Computing",computer science,control engineering,control system
New trends in computational intelligence,mathematics,artificial intelligence,machine learning
A Compact Single Conductor Transmission Line Launcher for Telemetry in Borehole Drilling,mathematics,remote sensing,geotechnical engineering
Printed Paper Robot Driven by Electrostatic Actuator,engineering,electrical engineering,control engineering
Towards a distributed modeling and simulation environment for networks,NA,NA,NA
A two-stage spectrum leasing optimization framework for virtual mobile network operators,engineering,simulation,management science
Enhanced autonomous resource selection for LTE-based V2V communication,computer science,computer network,standardization
A Combinatorial Optimization for Energy-Efficient Mobile Cloud Offloading over Cellular Networks,engineering,data mining,theoretical computer science
A Robust and Reusable ECG-Based Authentication and Data Encryption Scheme for eHealth Systems,computer science,real time computing,computer security
Indistinguishability of random systems,mathematics,discrete mathematics,combinatorics
POSTER: Anomaly-based misbehaviour detection in connected car backends,computer science,computer network,computer security
Validation of Internal Meters of Mobile Android Devices,computer science,embedded system,battery
Gaussian Component Based Index for GMMs,mathematics,artificial intelligence,pattern recognition
Electronic Voting as an Additional Method of Participating in Elections. Opinions of Poles,political science,public administration,public relations
Contextual Embedding for Distributed Representations of Entities in a Text Corpus,NA,NA,NA
Cubic Lidstone-Spline for numerical solution of BVPs,mathematics,mathematical optimization,mathematical analysis
Effect of metal work function on the DC characteristics of an asymmetric MOSFET with Schottky-based source,materials science,electronic engineering,mosfet
Motion planning in R 3 for multiple tethered robots.,computer science,artificial intelligence,computer vision
A joint design of timing tracking and channel estimation for IDMA receivers,computer science,real time computing,theoretical computer science
Wie lehrt man Requirements Engineering? Ein Erfahrungsbericht.,NA,NA,NA
A green program lifecycle supporting energy-efficient applications,computer science,real time computing,information system
Dynamic symbolic execution for polymorphism,computer science,programming language,theoretical computer science
Normalizing digital news-stories for preservation,computer science,data mining,world wide web
Segmentation and registration coupling from short-axis Cine MRI: application to infarct diagnosis,geography,artificial intelligence,computer vision
Predicting the reliability of resources in computational Grid,computer science,distributed computing,real time computing
Examining the Antecedents and Outcomes of ERP Implementation Success: An Explanatory Study,business,management science,profitability index
Robust visual tracking based on scale invariance and deep learning,computer science,artificial intelligence,pattern recognition
Predicting soccer highlights from spatio-temporal match event streams,computer science,artificial intelligence,machine learning
Exploiting traces in program analysis,computer science,distributed computing,model checking
Study on a Two-Link Horizontal Bar Gymnastics Robot with Passive Joint (Motion Control Using Feedforward Control Based on Inverse Dynamics),NA,NA,NA
Kalman-based time-varying sparse channel estimation,engineering,data mining,mathematical optimization
Optimization of Power Consumption in 4G LTE Networks Using a Novel Barebones Self-adaptive Differential Evolution Algorithm,computer science,computer network,wireless
Enabling OLAP analyses on the web of data,NA,NA,NA
Virtual Machine Planning for Cloud Brokering Considering Geolocation and Data Transfer,NA,NA,NA
Examination of effective features for CRF-based bibliography extraction from reference strings,computer science,data mining,information retrieval
Prefix and Suffix Invariant Dynamic Time Warping,computer science,artificial intelligence,data mining
Weighted Probabilistic Next-Hop Forwarder Decision-Making in VANET Environments,computer science,computer network,routing protocol
Efficient algorithm for approximating maximum inscribed sphere in high dimensional polytope,mathematics,algorithm,combinatorics
Automata with Auxiliary Weights,mathematics,discrete mathematics,combinatorics
Multi-layer text classification with voting for consumer reviews,computer science,artificial intelligence,data mining
A quantitative method for evaluating the complexity of implementing and performing game features in physically-interactive gamified applications,computer science,social psychology,knowledge management
Scope and limitations of the irreversible thermodynamics and the solution diffusion models for the separation of binary and multi-component systems in reverse osmosis process,chemistry,thermodynamics,mathematical model
Efficient and Distributed Algorithms for Large-Scale Generalized Canonical Correlations Analysis,mathematics,artificial intelligence,data mining
